MQ8A,MQ135A,MQ9A,MQ4A,MQ2A,MQ3A,label,days_old,spoilage_prob
201.8115484923781,187.0747134345125,96.16846070236241,196.43937858460345,105.25727688052561,154.45517386736182,0,2,0.2848152649643637
343.7664109827448,205.622856690626,566.5506855502414,262.9361798492006,577.87002408739,403.6168753315195,1,5,0.5891861698377386
185.64285355852726,140.10566669590608,139.1989515927895,175.34613396886346,120.38486301037175,132.41318296767955,0,0,0.049462463868755635
200.20751988713874,180.83430121028636,238.37954135216424,130.91619017890872,256.3431324115588,116.38844729595532,0,3,0.35851243653097586
159.00781630956794,212.03234170947403,146.6065082316644,122.20390626512875,140.031433420727,188.93318340040602,0,1,0.1409939490506975
92.1238795068569,157.14225785204388,173.16272988665412,149.95581870665558,106.36844832077932,63.938632689704306,0,2,0.20499170677335987
178.16475221994313,422.21279827071913,323.42500216454255,200.01744703502433,629.7727204055284,427.85289706755407,0,4,0.4146923395116614
419.75742445361396,224.87961464422216,380.7997582636263,99.38112758536707,561.5034470626106,318.78123658867037,0,4,0.44725211647242735
668.6020810308286,755.103189628667,586.5506617470992,676.4850521244778,737.5150136088928,600.1032158193535,1,8,0.8590551402836755
107.99629815572283,115.61617773860985,191.76315223841465,188.0811719469217,210.92332319850914,148.69335471213984,0,0,0.042430242705082444
621.1847547071636,708.494436414839,755.3363962894022,875.3213564003411,838.6150291813565,709.1631712578591,1,9,0.9268899974867538
778.6783505945928,787.7166947626553,575.1287273142469,655.681107045421,711.6544419972774,665.8635879833884,1,9,0.9267260278220142
541.9318056970137,540.1717456004634,637.6203754959258,357.82301184211747,370.1888426584656,209.69788137558987,0,4,0.46544350898377773
903.4303684671798,746.3262591786729,699.2436512606589,476.41790363792484,461.45298241778477,388.0745465122758,1,6,0.6038914102813109
175.0719349268964,326.5269789384433,105.98942234038262,0.0,0.0,100.41384819841227,0,3,0.30383249707197146
680.4703765129616,575.7003832078412,636.5173199395185,794.6543667317206,720.3107388218567,758.5821897204522,1,8,0.8505352105777648
210.5283178532132,129.48166585198658,144.81818039068642,154.2131780631432,179.87602610913382,117.07672171667136,0,2,0.21294567199876746
375.8296876466263,264.4815601351805,0.0,351.70234321008763,93.49600350582054,325.5677929337081,0,3,0.374319203256839
179.38090247478462,134.14894806101847,153.86372879171591,190.1698870094986,142.4869104761762,132.94389676588267,0,1,0.14720258681987386
179.0989812610648,198.98082863934144,171.60546737149863,140.7568588496177,155.47688559592032,171.179125034933,0,1,0.11166798921109367
328.2601906776576,488.6054135610475,302.0921352834239,0.0,346.245774463031,352.16504622284407,0,3,0.34751658557965437
543.7283134912735,192.03200996992496,724.857882141473,430.21917379722026,701.8684444884486,204.03295806112357,0,4,0.4584595559734924
603.9382523198209,584.2241164124068,619.2898030023497,697.3681884256432,676.0233513490917,785.8392326097415,1,9,0.9923068581348591
171.14626079497322,157.056581604886,166.39071104230385,108.66598780521241,133.46380946436244,116.90114239761132,0,1,0.1428688096936448
643.9683883264279,117.63864426609769,670.3059562583097,505.6805631684391,586.5279583102391,379.3915069248678,1,5,0.5875019089137647
468.04861173915907,481.81600981768315,395.4657163604979,489.6165623037093,247.41257354447598,301.8839202588994,0,4,0.417507143898596
154.0931687975826,59.23660473963065,518.199270480393,98.0278311303189,320.4481728845384,0.0,0,3,0.3675491714298338
239.68121830179743,252.98499712297863,241.688668839471,338.4983341956249,540.4865374084819,606.1259787640843,0,4,0.455253320324308
